"","index","UAG","OUG","CV Sh.","Total Shrinkage"
"1329","19/10/2010",10971899,5225263,-9675,16187487
"1330","20/10/2010",13864480,5093475,21249,18979204
"1331","21/10/2010",16943145,5371288,-168173,22146260
"1332","22/10/2010",15099767,4970154,-349881,19720040
"1333","23/10/2010",-13569602,4794293,68330,-8706979
"1334","24/10/2010",15743111,5208781,1740171,22692063
"1335","25/10/2010",27706712,5747137,688375,34142224
"1336","26/10/2010",19118067,4938050,625216,24681333
"1337","27/10/2010",-9627247,3653251,117151,-5856845
"1338","28/10/2010",15514202,3081528,50627,18646357
"1339","29/10/2010",27283475,4103350,335505,31722330
"1340","30/10/2010",7464786,6692038,447030,14603854
"1341","31/10/2010",10111202,7110578,130557,17352337
"1342","01/11/2010",21089090,4392562,-82042,25399610
"1343","02/11/2010",18925115,3939277,-97092,22767300
"1344","03/11/2010",11267811,5685843,-29261,16924393
"1345","04/11/2010",18322309,5444260,129482,23896051
"1346","05/11/2010",-7218166,4548403,221179,-2448584
"1347","06/11/2010",10501790,7618635,99238,18219663
"1348","07/11/2010",8219462,8157474,-166505,16210431
"1349","08/11/2010",15710482,8658557,115983,24485022
"1350","09/11/2010",1923419,5702808,271423,7897650
"1351","10/11/2010",18071042,5708486,-223680,23555848
"1352","11/11/2010",18341651,5239151,159318,23740120
"1353","12/11/2010",13591160,6239569,-81768,19748961
"1354","13/11/2010",19466757,5088364,1106943,25662064
"1355","14/11/2010",20223885,5894960,101642,26220487
"1356","15/11/2010",16282016,8545034,1210301,26037351
"1357","16/11/2010",31818037,7788346,1054731,40661114
"1358","17/11/2010",21352558,4944523,-21905,26275176
"1359","18/11/2010",17555611,4537068,-281644,21811035
"1360","19/11/2010",27437182,4517955,-252850,31702287
"1361","20/11/2010",2690498,7122884,162856,9976238
"1362","21/11/2010",20036268,6260091,62462,26358821
"1363","22/11/2010",12932603,5470227,-410183,17992647
"1364","23/11/2010",27245528,7152531,85898,34483957
"1365","24/11/2010",20430259,6539542,396618,27366419
"1366","25/11/2010",11212137,8745953,215528,20173618
"1367","26/11/2010",11488172,9821179,1237417,22546768
"1368","27/11/2010",476700,10115984,585087,11177771
"1369","28/11/2010",20962638,11330792,-249288,32044142
"1370","29/11/2010",17964662,13508325,657695,32130682
"1371","30/11/2010",13124272,12818772,513847,26456891
"1372","01/12/2010",44150845,14055753,1127476,59334074
"1373","02/12/2010",2663165,12552081,536105,15751351
"1374","03/12/2010",8997380,12326873,-115684,21208569
"1375","04/12/2010",-6603933,10850433,-567825,3678675
"1376","05/12/2010",9064152,9703117,-497576,18269693
"1377","06/12/2010",18996936,12111962,911414,32020312
"1378","07/12/2010",21046806,13766786,-431931,34381661
"1379","08/12/2010",-779696,12906659,784165,12911128
"1380","09/12/2010",10909147,13296007,-1008303,23196851
"1381","10/12/2010",4106795,11931957,-42907,15995845
"1382","11/12/2010",-3705968,12377081,-1015731,7655382
"1383","12/12/2010",12323006,11525608,574468,24423082
"1384","13/12/2010",11253970,12015307,677927,23947204
"1385","14/12/2010",14725634,10327408,-552739,24500303
"1386","15/12/2010",7573615,10819394,-78965,18314044
"1387","16/12/2010",-5592123,12246942,584750,7239569
"1388","17/12/2010",8433840,12829096,271591,21534527
"1389","18/12/2010",11325074,13239762,1003450,25568286
"1390","19/12/2010",13617321,14422238,92366,28131925
"1391","20/12/2010",7019616,14272129,1518809,22810554
"1392","21/12/2010",25200427,12787793,-424833,37563387
"1393","22/12/2010",10284823,11504589,1322534,23111946
"1394","23/12/2010",-613567,12227601,-741086,10872948
"1395","24/12/2010",6618332,11765364,1439794,19823490
"1396","25/12/2010",13501963,10387226,-563047,23326142
"1397","26/12/2010",12222,10656019,561347,11229588
"1398","27/12/2010",19994919,9988063,435764,30418746
"1399","28/12/2010",20619239,8986996,797100,30403335
"1400","29/12/2010",11937131,9796913,371891,22105935
"1401","30/12/2010",5586432,9338538,446548,15371518
"1402","31/12/2010",7764487,7767800,-737082,14795205
"1403","01/01/2011",9199255,7003326,-295925,15906656
"1404","02/01/2011",13911928,9231537,-367566,22775899
"1405","03/01/2011",4158900,10310252,-562169,13906983
"1406","04/01/2011",22498098,9239370,375494,32112962
"1407","05/01/2011",-553378,7230722,985469,7662813
"1408","06/01/2011",28606673,7432857,228348,36267878
"1409","07/01/2011",17074490,6267165,434780,23776435
"1410","08/01/2011",3698593,7983922,-15391,11667124
"1411","09/01/2011",22874487,9122443,-432333,31564597
"1412","10/01/2011",28079627,7982045,990183,37051855
"1413","11/01/2011",7449034,8611588,152714,16213336
"1414","12/01/2011",23981925,7063613,-60928,30984610
"1415","13/01/2011",13401809,7592360,-116567,20877602
"1416","14/01/2011",10267731,6496434,398292,17162457
"1417","15/01/2011",16328360,7085738,-149822,23264276
"1418","16/01/2011",12526991,7327948,-14666,19840273
"1419","17/01/2011",10577364,11874843,-299736,22152471
"1420","18/01/2011",8472036,9208698,534914,18215648
"1421","19/01/2011",14315802,7571741,300900,22188443
"1422","20/01/2011",-1188906,8297197,-532341,6575950
"1423","21/01/2011",11246827,8396442,-5435,19637834
"1424","22/01/2011",17431741,7928782,1306142,26666665
"1425","23/01/2011",5905888,8793047,-570131,14128804
"1426","24/01/2011",12323233,6811862,-1251253,17883842
"1427","25/01/2011",269987,5866085,765706,6901778
"1428","26/01/2011",15686716,6154145,-452653,21388208
"1429","27/01/2011",-7863803,9287372,-463127,960442
"1430","28/01/2011",28693785,10208024,-970590,37931219
"1431","29/01/2011",-6862794,9790811,618491,3546508
"1432","30/01/2011",20529719,8798399,1111321,30439439
"1433","31/01/2011",14039765,8793687,287599,23121051
"1434","01/02/2011",20045364,8063843,-524795,27584412
"1435","02/02/2011",13041717,6588642,-333470,19296889
"1436","03/02/2011",11133146,6244813,770603,18148562
"1437","04/02/2011",20995143,5313163,-319509,25988797
"1438","05/02/2011",25614964,5304271,92449,31011684
"1439","06/02/2011",3816589,4358783,658977,8834349
"1440","07/02/2011",-5687279,4747403,4466533,3526657
"1441","08/02/2011",23492643,4889760,4307772,32690175
"1442","09/02/2011",20033286,4758597,4063256,28855139
"1443","10/02/2011",15038771,4542182,-179484,19401469
"1444","11/02/2011",19369089,3635068,-353105,22651052
"1445","12/02/2011",14305533,3406211,32029,17743773
"1446","13/02/2011",16286760,4538693,-103606,20721847
"1447","14/02/2011",8147935,5024652,511933,13684520
"1448","15/02/2011",14429031,5046540,1057276,20532847
"1449","16/02/2011",8356223,5673413,-530469,13499167
"1450","17/02/2011",20877678,4840608,779088,26497374
"1451","18/02/2011",23231736,3714203,193419,27139358
"1452","19/02/2011",-1763667,5858078,243827,4338238
"1453","20/02/2011",13381479,5811369,533127,19725975
"1454","21/02/2011",35273755,4370637,-106039,39538353
"1455","22/02/2011",6254725,5821876,-822719,11253882
"1456","23/02/2011",22806776,3872450,543764,27222990
"1457","24/02/2011",11834884,4306150,56163,16197197
"1458","25/02/2011",7474020,4903169,205868,12583057
"1459","26/02/2011",-482713,4086151,307966,3911404
"1460","27/02/2011",24867172,4936615,-99441,29704346
"1461","28/02/2011",16625241,5918983,1011123,23555347
"1462","01/03/2011",8508259,5676021,591726,14776006
"1463","02/03/2011",4316085,5415197,1006415,10737697
"1464","03/03/2011",26852240,4740058,600918,32193216
"1465","04/03/2011",6592641,4472413,-13314,11051740
"1466","05/03/2011",8818055,5010999,20915,13849969
"1467","06/03/2011",4941361,4771179,135195,9847735
"1468","07/03/2011",12816013,5545833,560811,18922657
"1469","08/03/2011",19829094,3696983,316861,23842938
"1470","09/03/2011",32047888,3952339,-1703024,34297203
"1471","10/03/2011",-10515836,3572949,378279,-6564608
"1472","11/03/2011",17430885,3603296,-266504,20767677
"1473","12/03/2011",23241803,4276924,35242,27553969
"1474","13/03/2011",-8290484,4921717,221425,-3147342
"1475","14/03/2011",29754273,5434060,342592,35530925
"1476","15/03/2011",9990104,4845590,579595,15415289
"1477","16/03/2011",14517696,7957078,543215,23017989
"1478","17/03/2011",-2193761,8813726,-857397,5762568
"1479","18/03/2011",25726244,7634359,323210,33683813
"1480","19/03/2011",17803634,6321607,453171,24578412
"1481","20/03/2011",12592186,4856826,-1005801,16443211
"1482","21/03/2011",9325314,5367034,454197,15146545
"1483","22/03/2011",8842603,7130157,-237613,15735147
"1484","23/03/2011",21066298,7926442,-351589,28641151
"1485","24/03/2011",17557695,7387660,65877,25011232
"1486","25/03/2011",28628812,5907073,-87867,34448018
"1487","26/03/2011",13744966,6521460,29135,20295561
"1488","27/03/2011",20689220,6795799,122449,27607468
"1489","28/03/2011",19480434,7511734,-510166,26482002
"1490","29/03/2011",19617109,7469049,-393658,26692500
"1491","30/03/2011",30894957,7826019,331353,39052329
"1492","31/03/2011",31889674,7856421,338252,40084347
"1493","01/04/2011",26424905,6442026,-70689,32796242
"1494","02/04/2011",-8205473,6799992,142232,-1263249
"1495","03/04/2011",17114022,7081257,-358450,23836829
"1496","04/04/2011",30076610,6693757,-187052,36583315
"1497","05/04/2011",35977386,6527248,216905,42721539
"1498","06/04/2011",14582191,6727915,71369,21381475
"1499","07/04/2011",19081965,7166636,165189,26413790
"1500","08/04/2011",19128222,6905620,132471,26166313
"1501","09/04/2011",25387696,6155087,163455,31706238
"1502","10/04/2011",13679487,5989580,121464,19790531
"1503","11/04/2011",5757942,6133410,-12863,11878489
"1504","12/04/2011",24445414,6670950,93356,31209720
"1505","13/04/2011",12668387,6494588,272383,19435358
"1506","14/04/2011",31784791,6341339,-13063,38113067
"1507","15/04/2011",16945964,6786220,569761,24301945
"1508","16/04/2011",23709952,6682712,-214756,30177908
"1509","17/04/2011",20473255,6713842,72869,27259966
"1510","18/04/2011",16183111,6525691,13185,22721987
"1511","19/04/2011",14777167,6143108,277704,21197979
"1512","20/04/2011",14529282,6551827,-45126,21035983
"1513","21/04/2011",35313292,5237677,-122148,40428821
"1514","22/04/2011",36652053,5511158,-59524,42103687
"1515","23/04/2011",16732931,3911645,-237197,20407379
"1516","24/04/2011",9137421,5400143,87622,14625186
"1517","25/04/2011",18088478,6332987,-19319,24402146
"1518","26/04/2011",2818270,5604534,31747,8454551
"1519","27/04/2011",12781256,4697983,-113405,17365834
"1520","28/04/2011",28064035,4907395,77206,33048636
"1521","29/04/2011",29366743,5457387,294387,35118517
"1522","30/04/2011",71531571,3927023,-7177,75451417
"1523","01/05/2011",14329747,3159330,200054,17689131
"1524","02/05/2011",27101981,4093592,104345,31299918
"1525","03/05/2011",11011116,3431152,472797,14915065
"1526","04/05/2011",24162531,5677234,452906,30292671
"1527","05/05/2011",23012448,6287708,-121622,29178534
"1528","06/05/2011",27983723,5083298,-77757,32989264
"1529","07/05/2011",16446694,4373721,-101285,20719130
"1530","08/05/2011",20070051,3866365,86282,24022698
"1531","09/05/2011",22655438,3732984,404264,26792686
"1532","10/05/2011",11803444,3241378,-54102,14990720
"1533","11/05/2011",12173978,2999959,-223608,14950329
"1534","12/05/2011",13226444,2380628,63078,15670150
"1535","13/05/2011",7458879,3445561,270725,11175165
"1536","14/05/2011",21889948,3032949,254253,25177150
"1537","15/05/2011",32749802,3536782,-66510,36220074
"1538","16/05/2011",9621219,3019190,32530,12672939
"1539","17/05/2011",25997942,4469983,135930,30603855
"1540","18/05/2011",12649569,4985770,-57767,17577572
"1541","19/05/2011",39722363,5150167,-49435,44823095
"1542","20/05/2011",12250609,5395109,-25374,17620344
"1543","21/05/2011",2607399,3327252,-69887,5864764
"1544","22/05/2011",16674448,2732585,-91158,19315875
"1545","23/05/2011",17717542,4919976,-190313,22447205
"1546","24/05/2011",10517020,3414440,-218970,13712490
"1547","25/05/2011",18140117,4381924,-297166,22224875
"1548","26/05/2011",23934183,3605959,3437,27543579
"1549","27/05/2011",16899386,5040615,220923,22160924
"1550","28/05/2011",13510602,4283098,-41106,17752594
"1551","29/05/2011",11163799,4535495,-300046,15399248
"1552","30/05/2011",10252271,4671362,-377511,14546122
"1553","31/05/2011",32336028,4563963,-207138,36692853
"1554","01/06/2011",16369942,4733870,404099,21507911
"1555","02/06/2011",4719350,2164124,-291531,6591943
"1556","03/06/2011",25273473,2470745,-185795,27558423
"1557","04/06/2011",18191325,1604831,-13633,19782523
"1558","05/06/2011",10241345,2254732,-143960,12352117
"1559","06/06/2011",-1623217,3617989,-108892,1885880
"1560","07/06/2011",22900272,3911020,-217140,26594152
"1561","08/06/2011",13824211,4351740,-138854,18037097
"1562","09/06/2011",10597483,3299931,-156281,13741133
"1563","10/06/2011",19508395,3482175,-198409,22792161
"1564","11/06/2011",5383739,1787679,-152858,7018560
"1565","12/06/2011",38728369,1384901,295338,40408608
"1566","13/06/2011",4540821,1578924,300260,6420005
"1567","14/06/2011",35201365,1551103,-170178,36582290
"1568","15/06/2011",12485034,1398252,-136471,13746815
"1569","16/06/2011",11940424,1045653,-218264,12767813
"1570","17/06/2011",17031634,1282552,99494,18413680
"1571","18/06/2011",13691648,858313,46402,14596363
"1572","19/06/2011",16999783,450648,509674,17960105
"1573","20/06/2011",25118185,478737,-166348,25430574
"1574","21/06/2011",19184661,467802,127192,19779655
"1575","22/06/2011",16156397,917241,85069,17158707
"1576","23/06/2011",6391933,370669,-90609,6671993
"1577","24/06/2011",22703572,1142273,77397,23923242
"1578","25/06/2011",11835057,1952727,-389586,13398198
"1579","26/06/2011",33052448,569324,10908,33632680
"1580","27/06/2011",-532091,893031,-144678,216262
"1581","28/06/2011",10044060,977117,179645,11200822
"1582","29/06/2011",-1217861,2614551,3888,1400578
"1583","30/06/2011",15195209,1602103,112702,16910014
"1584","01/07/2011",31670200,420272,-228202,31862270
"1585","02/07/2011",-5129542,121312,97269,-4910961
"1586","03/07/2011",25333548,130128,-138767,25324909
"1587","04/07/2011",9191830,124958,-127687,9189101
"1588","05/07/2011",15199646,262871,-111217,15351300
"1589","06/07/2011",12031576,1204639,5903,13242118
"1590","07/07/2011",-6308315,1191047,-84864,-5202132
"1591","08/07/2011",12921000,386955,98111,13406066
"1592","09/07/2011",32533091,112483,-463171,32182403
"1593","10/07/2011",18600180,111166,-180873,18530473
"1594","11/07/2011",8498629,1397613,357000,10253242
"1595","12/07/2011",-7419198,2197662,157700,-5063836
"1596","13/07/2011",13125473,2419845,192268,15737586
"1597","14/07/2011",25792671,2770618,-268939,28294350
"1598","15/07/2011",23381537,1861253,495110,25737900
"1599","16/07/2011",12033101,1417821,-45292,13405630
"1600","17/07/2011",829235,1380457,-154452,2055240
"1601","18/07/2011",-1131041,1425503,-65511,228951
"1602","19/07/2011",4577532,1354527,20895,5952954
"1603","20/07/2011",9210772,1199196,-49965,10360003
"1604","21/07/2011",9949614,1825440,51950,11827004
"1605","22/07/2011",-11957832,1877690,-88870,-10169012
"1606","23/07/2011",18467460,1658026,-7424,20118062
"1607","24/07/2011",11437588,1818553,-41666,13214475
"1608","25/07/2011",17428537,1328090,182309,18938936
"1609","26/07/2011",28159703,2404000,-33395,30530308
"1610","27/07/2011",16986013,2127517,-160439,18953091
"1611","28/07/2011",-13491350,5320037,219284,-7952029
"1612","29/07/2011",14860824,3109053,4621,17974498
"1613","30/07/2011",7409737,2174947,-148772,9435912
"1614","31/07/2011",24403322,1331308,236755,25971385
"1615","01/08/2011",5852664,2299717,100374,8252755
"1616","02/08/2011",9784005,2628943,-79137,12333811
"1617","03/08/2011",10804280,1822165,137223,12763668
"1618","04/08/2011",456248,1647768,101918,2205934
"1619","05/08/2011",10682232,1586453,78358,12347043
"1620","06/08/2011",1011878,1490196,60034,2562108
"1621","07/08/2011",6367659,1439408,280473,8087540
"1622","08/08/2011",17591839,1490951,129502,19212292
"1623","09/08/2011",5808178,1570811,130587,7509576
"1624","10/08/2011",8715212,1459201,-173692,10000721
"1625","11/08/2011",19828340,2267313,10361,22106014
"1626","12/08/2011",23476127,2871063,-144113,26203077
"1627","13/08/2011",9577580,2006214,-17727,11566067
"1628","14/08/2011",-6941042,1957492,-79743,-5063293
"1629","15/08/2011",13030452,1942661,-186250,14786863
"1630","16/08/2011",3673720,1675256,-159321,5189655
"1631","17/08/2011",3643153,1847610,38772,5529535
"1632","18/08/2011",4332119,1963644,-22864,6272899
"1633","19/08/2011",34971209,1885822,876418,37733449
"1634","20/08/2011",21391803,1844278,-135868,23100213
"1635","21/08/2011",6722068,1609394,-174691,8156771
"1636","22/08/2011",25338138,1650138,671256,27659532
"1637","23/08/2011",3963042,1951851,-235434,5679459
"1638","24/08/2011",10943019,1760887,-114336,12589570
"1639","25/08/2011",2217871,2803861,-274762,4746970
"1640","26/08/2011",17517163,2552403,265521,20335087
"1641","27/08/2011",1198638,3153235,710258,5062131
"1642","28/08/2011",8202830,2914912,727419,11845161
"1643","29/08/2011",16102160,2693399,69689,18865248
"1644","30/08/2011",28702284,3126902,225258,32054444
"1645","31/08/2011",3272076,3422680,1119010,7813766
"1646","01/09/2011",22777091,4581703,91625,27450419
"1647","02/09/2011",20590157,4898463,157003,25645623
"1648","03/09/2011",-3724069,4011573,176066,463570
"1649","04/09/2011",-6433700,3190421,-181047,-3424326
"1650","05/09/2011",22836527,4144589,-24836,26956280
"1651","06/09/2011",-167681,4100476,-138526,3794269
"1652","07/09/2011",25363804,3847202,28794,29239800
"1653","08/09/2011",-11478403,3011018,224954,-8242431
"1654","09/09/2011",27350744,2977570,425515,30753829
"1655","10/09/2011",-13722472,1884545,44211,-11793716
"1656","11/09/2011",5060502,1513710,122226,6696438
"1657","12/09/2011",5143688,2072900,282941,7499529
"1658","13/09/2011",8388950,3378264,1117625,12884839
"1659","14/09/2011",-15213606,3385688,205957,-11621961
"1660","15/09/2011",34306677,3649920,280604,38237201
"1661","16/09/2011",-9260569,1955388,630452,-6674729
"1662","17/09/2011",-12728000,2225713,809720,-9692567
"1663","18/09/2011",16239509,1409493,68838,17717840
"1664","19/09/2011",33929892,2320775,-27616,36223051
"1665","20/09/2011",8990965,2850449,115760,11957174
"1666","21/09/2011",4216606,3413911,1046233,8676750
"1667","22/09/2011",2813996,3353032,-93039,6073989
"1668","23/09/2011",18263040,3260555,1255117,22778712
"1669","24/09/2011",20133328,2896122,598969,23628419
"1670","25/09/2011",11771752,2243858,2458026,16473636
"1671","26/09/2011",8884216,2658940,1188432,12731588
"1672","27/09/2011",14501817,3843252,1015046,19360115
"1673","28/09/2011",21359306,4246316,860597,26466219
"1674","29/09/2011",-12081166,4095584,132617,-7852965
"1675","30/09/2011",8695056,3909622,-89623,12515055
"1676","01/10/2011",15656302,2011372,54547,17722221
"1677","02/10/2011",22843555,2082611,96799,25022965
"1678","03/10/2011",6695720,1611841,125931,8433492
"1679","04/10/2011",8909687,2550053,364115,11823855
"1680","05/10/2011",8897938,4293730,435729,13627397
"1681","06/10/2011",2356829,4991039,543044,7890912
"1682","07/10/2011",11543376,5149881,120366,16813623
"1683","08/10/2011",32883021,4384269,-210856,37056434
"1684","09/10/2011",10056205,2868578,394477,13319260
"1685","10/10/2011",12086785,1944792,242664,14274241
"1686","11/10/2011",7890270,1236898,-55205,9071963
"1687","12/10/2011",16139434,1612215,-142213,17609436
"1688","13/10/2011",2423035,1824125,-23650,4223510
"1689","14/10/2011",4343283,1997908,18467,6359658
"1690","15/10/2011",5800292,1498905,102023,7401220
"1691","16/10/2011",17226283,1214594,152663,18593540
"1692","17/10/2011",-347066,1517562,-72851,1097645
"1693","18/10/2011",23307104,1876780,135815,25319699
"1694","19/10/2011",15322661,2494696,-555590,17261767
"1695","20/10/2011",26251404,2093289,-394743,27949950
"1696","21/10/2011",8745147,3840396,223936,12809479
"1697","22/10/2011",18622067,1740838,-34534,20328371
"1698","23/10/2011",6479023,1096958,70728,7646709
"1699","24/10/2011",30341176,2156821,369020,32867017
"1700","25/10/2011",-13002549,2677281,-260056,-10585324
"1701","26/10/2011",23858468,2501109,-244679,26114898
"1702","27/10/2011",24775170,1731201,-234594,26271777
"1703","28/10/2011",16812435,2362915,162343,19337693
"1704","29/10/2011",21287903,1574088,11800,22873791
"1705","30/10/2011",12985940,1608901,-33448,14561393
"1706","31/10/2011",12761978,1638052,461761,14861791
"1707","01/11/2011",13817782,1972706,290560,16081048
"1708","02/11/2011",29485440,5018223,374727,34878390
"1709","03/11/2011",4698646,4872951,-259619,9311978
"1710","04/11/2011",12085674,2788741,89371,14963786
"1711","05/11/2011",11161022,2229602,-32170,13358454
"1712","06/11/2011",12729076,1120677,-265172,13584581
"1713","07/11/2011",26258953,3009526,362743,29631222
"1714","08/11/2011",12474729,5566935,-218272,17823392
"1715","09/11/2011",12287312,4524210,195663,17007185
"1716","10/11/2011",18392216,3747500,4915,22144631
"1717","11/11/2011",3787891,3571095,456185,7815171
"1718","12/11/2011",18831922,3512445,-94694,22249673
"1719","13/11/2011",12911046,3586501,1140546,17638093
"1720","14/11/2011",12826198,4732745,1245592,18804535
"1721","15/11/2011",3870787,7882727,-154706,11598808
"1722","16/11/2011",39651641,3918655,-18763,43551533
"1723","17/11/2011",-17592213,5696496,-557351,-12453068
"1724","18/11/2011",18897412,4840083,-138685,23598810
"1725","19/11/2011",9572357,2643508,-595333,11620532
"1726","20/11/2011",14264937,3420270,-190251,17494956
"1727","21/11/2011",12022585,4552962,36982,16612529
"1728","22/11/2011",12720954,7261328,-78086,19904196
"1729","23/11/2011",23528506,5027386,-315999,28239893
"1730","24/11/2011",1649916,6752272,182420,8584608
"1731","25/11/2011",15346547,4628340,335088,20309975
"1732","26/11/2011",16486658,6413171,-243989,22655840
"1733","27/11/2011",1243958,6414390,-444756,7213592
"1734","28/11/2011",19541980,7870906,5517263,32930149
"1735","29/11/2011",65520,6798588,149627,7013735
"1736","30/11/2011",28257173,8986131,-947209,36296095
"1737","01/12/2011",612548,8538551,217115,9368214
"1738","02/12/2011",27195388,8337037,769406,36301831
"1739","03/12/2011",-2729546,7527936,130810,4929200
"1740","04/12/2011",10057163,6084115,-674898,15466380
"1741","05/12/2011",24163957,6654144,-318375,30499726
"1742","06/12/2011",18287746,5559023,7475272,31322041
"1743","07/12/2011",-3005885,5024422,6182639,8201176
"1744","08/12/2011",-2909589,5733492,-369867,2454036
"1745","09/12/2011",20473937,4994354,-600173,24868118
"1746","10/12/2011",18312272,8245527,-117476,26440323
"1747","11/12/2011",19718092,7708738,6154,27432984
"1748","12/12/2011",2131245,6110718,-649262,7592701
"1749","13/12/2011",3127127,5334710,495003,8956840
"1750","14/12/2011",12239029,5574095,288970,18102094
"1751","15/12/2011",14324739,7686169,188659,22199567
"1752","16/12/2011",19904619,6691371,395243,26991233
"1753","17/12/2011",12509533,5842519,-596392,17755660
"1754","18/12/2011",15134300,4928932,32321,20095553
"1755","19/12/2011",10623968,6438714,-311442,16751240
"1756","20/12/2011",21400327,5838390,-511467,26727250
"1757","21/12/2011",18176656,7343544,-634741,24885459
"1758","22/12/2011",5352576,3469244,252073,9073893
"1759","23/12/2011",7111821,2976481,256250,10344552
"1760","24/12/2011",33789054,5701682,118454,39609190
"1761","25/12/2011",14049880,3690198,562518,18302596
"1762","26/12/2011",5971712,3566394,383074,9921180
"1763","27/12/2011",7168641,3620909,134315,10923865
"1764","28/12/2011",10839262,2348051,-388514,12798799
"1765","29/12/2011",3789431,6210424,276705,10276560
"1766","30/12/2011",28079107,5088486,-239680,32927913
"1767","31/12/2011",9970918,5308937,-330377,14949478
"1768","01/01/2012",685885,3720023,-74925,4330983
"1769","02/01/2012",35484021,3577958,699532,39761511
"1770","03/01/2012",4210791,2463826,-99428,6575189
"1771","04/01/2012",11196278,4169440,416474,15782192
"1772","05/01/2012",6593536,4845139,286993,11725668
"1773","06/01/2012",9962284,3533052,29571,13524907
"1774","07/01/2012",3972326,2792551,338936,7103813
"1775","08/01/2012",14543707,2844423,689263,18077393
"1776","09/01/2012",8954473,4598475,8277,13561225
"1777","10/01/2012",13228539,4593424,-352983,17468980
"1778","11/01/2012",5419397,3159316,-627720,7950993
"1779","12/01/2012",-11889196,4395911,858872,-6634413
"1780","13/01/2012",3531017,4418222,1634,7950873
"1781","14/01/2012",10987198,4687450,621497,16296145
"1782","15/01/2012",6615081,7091525,197060,13903666
"1783","16/01/2012",9020913,6596917,-254256,15363574
"1784","17/01/2012",11141269,7755527,576707,19473503
"1785","18/01/2012",11564530,6195781,539800,18300111
"1786","19/01/2012",14260829,5230939,25498,19517266
"1787","20/01/2012",5035618,7172595,-86936,12121277
"1788","21/01/2012",3768332,5732045,-983445,8516932
"1789","22/01/2012",12520504,6320611,888607,19729722
"1790","23/01/2012",14397451,5866815,1490162,21754428
"1791","24/01/2012",17610432,5173088,485419,23268939
"1792","25/01/2012",5957364,5097341,-489655,10565050
"1793","26/01/2012",9153889,5437465,-262773,14328581
"1794","27/01/2012",954933,7568592,-167459,8356066
"1795","28/01/2012",33127596,7317612,362817,40808025
"1796","29/01/2012",2940959,8091284,473951,11506194
"1797","30/01/2012",11288786,7921148,375064,19584998
"1798","31/01/2012",18159815,8938017,297370,27395202
"1799","01/02/2012",5751670,8115283,-1933441,11933512
"1800","02/02/2012",12370071,8454755,962674,21787500
"1801","03/02/2012",23011749,7876234,-468433,30419550
"1802","04/02/2012",17850720,7630141,625816,26106677
"1803","05/02/2012",14083771,9797621,-975759,22905633
"1804","06/02/2012",7226317,7619467,-384260,14461524
"1805","07/02/2012",7908954,7327218,37009,15273181
"1806","08/02/2012",26756192,8076073,-1198042,33634223
"1807","09/02/2012",8056597,7436601,508068,16001266
"1808","10/02/2012",13867456,7892308,119365,21879129
"1809","11/02/2012",21356531,9740306,890291,31987128
"1810","12/02/2012",-5702523,9304821,140814,3743112
"1811","13/02/2012",4773511,8495881,-553542,12715850
"1812","14/02/2012",16193311,6528652,385455,23107418
"1813","15/02/2012",12819803,8688162,-716609,20791356
"1814","16/02/2012",15300462,8744712,106254,24151428
"1815","17/02/2012",4791863,5605954,545055,10942872
"1816","18/02/2012",-5242972,6006831,385791,1149650
"1817","19/02/2012",11833195,6676076,-352194,18157077
"1818","20/02/2012",24689109,6032068,91066,30812243
"1819","21/02/2012",18909557,5526328,154754,24590639
"1820","22/02/2012",21227116,5699023,234908,27161047
"1821","23/02/2012",4416503,4694430,327533,9438466
"1822","24/02/2012",7860936,3054644,75033,10990613
"1823","25/02/2012",13525292,2709099,829237,17063628
"1824","26/02/2012",23786436,2551600,421387,26759423
"1825","27/02/2012",21115288,2610429,528746,24254463
"1826","28/02/2012",-14541638,2528987,606879,-11405772
"1827","29/02/2012",8203949,2370681,-237646,10336984
"1828","01/03/2012",16300447,3797957,-1056777,19041627
"1829","02/03/2012",11354006,3509533,-359383,14504156
"1830","03/03/2012",11297893,2486431,204946,13989270
"1831","04/03/2012",10970475,2383239,1206468,14560182
"1832","05/03/2012",-16141981,3568073,-329093,-12903001
"1833","06/03/2012",13587534,6230207,-391624,19426117
"1834","07/03/2012",15648999,5115511,-390362,20374148
"1835","08/03/2012",30063062,3422595,256890,33742547
"1836","09/03/2012",6363165,3424203,-348677,9438691
"1837","10/03/2012",2742085,2805943,469687,6017715
"1838","11/03/2012",8226097,2931266,-127055,11030308
"1839","12/03/2012",19496251,2564201,208970,22269422
"1840","13/03/2012",16729795,2809556,197009,19736360
"1841","14/03/2012",2844415,2763396,120522,5728333
"1842","15/03/2012",21135142,2862710,-127180,23870672
"1843","16/03/2012",5573258,2326516,-463143,7436631
"1844","17/03/2012",5325150,2765753,123576,8214479
"1845","18/03/2012",11712347,3055389,302114,15069850
"1846","19/03/2012",22822019,3439493,-194697,26066815
"1847","20/03/2012",-3449621,2616769,-645623,-1478475
"1848","21/03/2012",18762829,3384370,-325965,21821234
"1849","22/03/2012",10475997,2377626,56460,12910083
"1850","23/03/2012",17015671,2210824,441789,19668284
"1851","24/03/2012",13302754,2395115,-8648,15689221
"1852","25/03/2012",3759889,2854480,-368714,6245655
"1853","26/03/2012",-671441,4154962,268476,3751997
