"","index","UAG","OUG","CV Sh.","Total Shrinkage"
"749","18/03/2009",-1263142,11580401,593182,10910441
"750","19/03/2009",17020212,12149056,293957,29463225
"751","20/03/2009",14859820,11915960,10553,26786333
"752","21/03/2009",12755678,11693228,-259526,24189380
"753","22/03/2009",14816874,11660827,3350,26481051
"754","23/03/2009",5488860,11993422,-89583,17392699
"755","24/03/2009",10115301,12081844,68061,22265206
"756","25/03/2009",14633612,11017313,-637755,25013170
"757","26/03/2009",8075488,11277053,650123,20002664
"758","27/03/2009",15653478,10353123,29573,26036174
"759","28/03/2009",5911333,9173231,838751,15923315
"760","29/03/2009",14131358,9347178,650751,24129287
"761","30/03/2009",12877995,11640217,-294138,24224074
"762","31/03/2009",12146183,11900496,413338,24460017
"763","01/04/2009",6563919,9374120,-3082,15934957
"764","02/04/2009",24442510,9356767,142798,33942075
"765","03/04/2009",7492287,9811126,-208892,17094521
"766","04/04/2009",1480861,10409751,-136307,11754305
"767","05/04/2009",17155823,10140841,-76815,27219849
"768","06/04/2009",17089991,7456728,-190089,24356630
"769","07/04/2009",16833455,8306759,-26744,25113470
"770","08/04/2009",13065315,9197943,-85140,22178118
"771","09/04/2009",4640832,8779469,-202084,13218217
"772","10/04/2009",-1487787,10758701,-187707,9083207
"773","11/04/2009",-1369409,9507601,321666,8459858
"774","12/04/2009",11185334,8957458,56126,20198918
"775","13/04/2009",26346184,8195212,-640196,33901200
"776","14/04/2009",10859702,7557939,650479,19068120
"777","15/04/2009",2585799,6160393,461081,9207273
"778","16/04/2009",25773321,6812077,-305745,32279653
"779","17/04/2009",13192744,6998781,382498,20574023
"780","18/04/2009",9963869,7485391,-536265,16912995
"781","19/04/2009",11905062,8071102,16804,19992968
"782","20/04/2009",19902144,10708434,163487,30774065
"783","21/04/2009",17809287,8419908,-25378,26203817
"784","22/04/2009",2627593,8560232,45518,11233343
"785","23/04/2009",23319950,7349344,7314,30676608
"786","24/04/2009",34333234,6895291,-270278,40958247
"787","25/04/2009",-1050323,7336997,-71494,6215180
"788","26/04/2009",17734519,7134252,101889,24970660
"789","27/04/2009",4040879,6844675,-427749,10457805
"790","28/04/2009",20730981,6626500,-42576,27314905
"791","29/04/2009",42114073,7688872,-285561,49517384
"792","30/04/2009",7658264,6340272,584778,14583314
"793","01/05/2009",5112272,6883903,715445,12711620
"794","02/05/2009",16438809,6968935,661438,24069182
"795","03/05/2009",17268669,7838623,899535,26006827
"796","04/05/2009",7484889,8569194,-47877,16006206
"797","05/05/2009",10518088,10430249,245020,21193357
"798","06/05/2009",7365577,11116978,-131568,18350987
"799","07/05/2009",1281667,10014733,-22524,11273876
"800","08/05/2009",28365077,7274006,-78722,35560361
"801","09/05/2009",14856157,7457001,-105632,22207526
"802","10/05/2009",17647326,7272239,62556,24982121
"803","11/05/2009",16844341,7367615,-208127,24003829
"804","12/05/2009",255204,8504832,17368,8777404
"805","13/05/2009",21239876,8385053,-361743,29263186
"806","14/05/2009",14678887,7885356,87226,22651469
"807","15/05/2009",12809639,7268519,-152002,19926156
"808","16/05/2009",12096785,7248508,-318252,19027041
"809","17/05/2009",15442511,6663100,432285,22537896
"810","18/05/2009",15340625,6775168,574509,22690302
"811","19/05/2009",7966303,7636565,-102389,15500479
"812","20/05/2009",20335193,4185434,232446,24753073
"813","21/05/2009",19397479,6188624,-78221,25507882
"814","22/05/2009",8886201,9166178,37326,18089705
"815","23/05/2009",14364856,8241080,-349979,22255957
"816","24/05/2009",17302847,7202540,39836,24545223
"817","25/05/2009",26063171,5692220,-342689,31412702
"818","26/05/2009",28136413,6023166,-145284,34014295
"819","27/05/2009",12602492,4914162,-181557,17335097
