"ApplicableFor","System Entry Energy, Aldbrough, D+2","System Entry Energy, Bacton-Perenco, D+1","System Entry Energy, Bacton-Shell, D+1","System Entry Energy, Bacton - BBL, D+2","System Entry Energy, Bacton Interconnector, D+2","System Entry Energy, BactonSeal, D+1","System Entry Energy, Barrow , D+2","System Entry Energy, Burton Point, D+2","System Entry Energy, Dragon, D+1","System Entry Energy, Easington-Langeled, D+1","System Entry Energy, Easington - Dimlington, D+2","System Entry Energy, GrainNTS1, D+1","System Entry Energy, GrainNTS2, D+1","System Entry Energy, HatfieldMoor, D+1","System Entry Energy, HillTop, D+2","System Entry Energy, Hole House Farm, D+2","System Entry Energy, Holford, D+2","System Entry Energy, Hornsea, D+2","System Entry Energy, Humbly Grove, D+2","System Entry Energy, Moffat Entry , D+2","System Entry Energy, Rough, D+2","System Entry Energy, South Hook, D+2","System Entry Energy, ST Fergus - Mobil, D+2","System Entry Energy, STFergus-NSMP, D+1","System Entry Energy, STFergus-Shell, D+1","System Entry Energy, Teesside-BP, D+1","System Entry Energy, Teesside-PX, D+1","System Entry Energy, Theddlethorpe, D+2","System Entry Energy, Stublach, D+2"
2013-03-25,70352281,49408611,156026934,470179953,620829576,53441667,71580232,15751111,68137909,769843025,100173611,0,28772026,5453722,0,39465263,37000248,27717991,23451111,0,333708843,71961111,189106500,465780000,246657222,67968220,77475556,109744444,0
2013-03-26,101484040,49788278,134024035,376362796,628063611,62827778,71485924,23004444,56415413,733894568,90286458,0,76971116,5429694,0,50320536,153833392,28090364,19989444,0,367380667,71988890,183145611,399477739,211120000,62684330,75466667,109719444,0
2013-03-27,109198065,51421583,149066281,382352608,517730000,60238889,71901497,15875556,96720436,775794176,89826389,0,127431425,5351472,0,65002753,167035168,25461926,18995000,0,292012889,86019448,126256861,351618858,202777222,65379030,87786667,106452778,0
2013-03-28,122271117,50444167,158647512,251614986,617011944,43719444,64531222,10968889,63001308,778915119,99388021,0,15892195,5167306,0,28108323,103015824,8844351,23894722,0,328775167,80019446,161210139,375800161,200254722,80035640,85688889,114597222,0
2013-03-29,10923228,49853417,164476174,255203998,619399577,48758333,57609868,29475556,0,773691259,99131944,0,41618047,5032333,0,33934709,0,7605317,23637222,0,261313329,61047223,176440806,407010000,200384911,68608390,82275556,105494444,0
2013-03-30,0,44915639,137295812,378463914,567531014,49405556,61545859,1031111,0,742071084,87907986,0,0,4789083,0,0,7322312,4258629,23071944,0,156682676,77997225,179712083,377280000,177442066,66571000,82880000,104797222,0
2013-03-31,0,45815639,156080331,411661693,582094418,50125000,70915231,12218889,15050308,789245650,76883681,0,0,3491556,0,0,0,3581424,8794722,0,82064257,72016669,178878917,471809406,212320593,80521810,83146667,108636111,0
2013-04-01,0,46458111,147779223,349568759,423069446,51363889,70353439,28581111,26997723,788082444,91462674,0,0,3877167,0,25669435,0,1099044,8794444,0,90973570,283933326,181686194,586772081,204983056,95635000,88337778,118991667,0
2013-04-02,21678767,47156556,165247638,273843258,352547639,53727778,67958000,23761111,0,782077272,101710069,0,0,4301917,0,12192495,21522204,14841299,14988333,0,109219438,284794447,177045778,516729056,213360833,76482720,103484444,112616667,0
2013-04-03,170503509,41484306,159213333,276866554,110040544,62477778,66211892,16750000,0,646074450,103146701,270300,42683491,2724611,0,17178049,187546576,56926431,23010833,0,257051817,326383328,168789222,339582886,218064167,78959360,65973333,110850000,0
2013-04-04,155220665,44931417,148791334,276041142,139053024,103944444,62061264,1957778,0,704053851,107643229,696300,14072808,4149056,0,28783878,146532256,39611153,20081111,0,263006178,317949999,169500917,428318894,206963333,81606500,47360000,111384000,0
2013-04-05,181370961,45881833,158085098,240729368,125029619,102075000,68843118,18836222,0,682489815,109045139,0,120156962,3618278,0,35155820,31520996,37831027,20076111,0,180903844,302480571,168873250,426640000,206083511,67786690,39662222,106950000,0
2013-04-06,0,0,118347439,276773372,190740222,93597005,72899984,34994439,0,737011176,110024448,0,106833767,4444444,0,0,0,2160102,13333333,0,531479,238777669,168873250,426640000,206083511,432599860,0,105694444,0
2013-04-07,0,48841250,154521389,276748794,213516497,92588889,62540046,38764444,0,733050457,110164931,0,31725597,3452361,0,0,0,5316351,11961111,0,13907613,244313897,181834000,474055739,205592500,105859470,0,101447222,0
2013-04-08,44223118,49266611,143540154,243703366,165645864,99505556,70186586,33493333,0,786634322,111493056,0,113607,0,0,10346385,0,5352156,4402500,0,167655028,265525004,162103750,563317489,201365278,114263280,0,110911111,0
2013-04-09,116777433,46158972,127142800,245707384,130890389,100080556,70033179,28244444,0,730156009,108181424,0,0,0,0,55696646,30300018,28191433,17882500,0,90271073,280247226,172753333,363885983,201382500,136234890,0,115125000,0
2013-04-10,37416977,45599833,154603289,276718592,88726610,84725000,70638109,15222222,0,745898448,111242404,0,0,0,0,3852499,40933404,20503179,14820278,0,32126925,289694451,163259222,544950842,204191667,113601330,25653333,120655556,0
2013-04-11,92191295,46246167,162536053,276443960,89851407,84933333,70854660,19777778,0,742048211,109509549,0,0,985222,0,8792774,0,11228109,14114167,0,65875158,346480543,176958861,475388492,204220833,88102190,41831111,122369444,0
2013-04-12,23577987,46901944,154454926,295868765,96632191,89555556,72222013,23200000,0,209724213,107022569,0,28581871,4201639,0,55699701,152011392,29805976,23472500,0,88482704,521925022,179885639,282140000,205888293,84185470,3946667,123619444,0
2013-04-13,5088976,0,125389540,269300084,17078267,85958116,84736057,7404378,0,502566664,106735289,0,9666884,3588867,0,0,36611328,0,0,0,0,775422635,179885639,282140000,205888293,440766602,0,123641493,0
2013-04-14,0,41541889,152972200,256958480,8264994,85355556,72387826,0,0,707163115,106471354,0,0,0,0,0,0,5301374,0,0,0,318027784,184065139,319090231,210493558,98596390,52160000,118180556,0
2013-04-15,0,40629472,154290865,210494978,11295166,101077778,44891950,0,0,721363754,102378472,0,0,0,0,0,0,5304882,0,0,2605076,315194431,177268056,467463503,212503333,91160440,84426667,98672222,0
2013-04-16,0,43923000,146715881,219341093,40790346,119130556,74495323,0,0,705658567,103862847,352300,0,0,0,0,0,5318361,0,0,0,294586114,181371944,335335767,212781944,85338140,94222222,122019444,0
2013-04-17,0,37609833,162502077,269759181,61319355,113444444,70494497,0,0,689254804,93446181,196600,0,0,0,0,0,5309045,0,0,0,400905558,183553222,261859169,212737500,71935250,99822222,126227778,0
2013-04-18,0,34839306,164610045,257518652,15646640,119786111,70933638,0,0,636238827,93216146,0,0,0,0,0,8879,5314371,0,0,222753,425777791,187635167,326424825,213336667,82260390,100817778,129258333,0
2013-04-19,0,36191278,157273949,232812500,31778151,112675000,65019022,0,0,543582740,95230035,0,0,0,0,0,25255254,5297645,0,0,0,463874986,197712000,284610000,213775387,74705940,104521778,130694444,0
2013-04-20,55339,0,137651910,263349079,6391548,111833225,82962850,0,0,525200195,95782767,0,0,0,0,0,25666233,0,0,0,0,0,197712000,284610000,213775387,441266819,66311306,122391493,0
2013-04-21,0,43161000,115841552,269278236,8571899,111694444,69803737,0,0,560557549,96944444,0,0,0,0,0,27133726,5311880,0,0,0,423808323,182982028,163950000,222231944,75788890,89813333,122291667,0
2013-04-22,0,40310889,138623708,269437209,25034541,103283333,69939475,0,0,691209325,72352431,524300,0,0,0,0,0,5303223,0,0,0,457858344,184787500,192549050,231117222,75201420,98115556,132036111,0
2013-04-23,33190455,41766611,157886772,241606694,10849985,112438889,70359223,0,0,631544154,100494792,0,0,0,0,17610549,10809,5321373,0,0,0,421836107,183374389,185896303,182785278,76410920,102453333,123708333,0
2013-04-24,1424650,43220944,162181481,70770042,10540858,111230556,69894996,0,0,714539417,110195313,0,0,0,0,0,0,5323355,0,0,0,374830560,197647389,223263086,248346389,87340610,91786667,115855556,0
2013-04-25,42004933,36700194,124934141,193791638,7747748,110038889,71232297,0,0,513952337,102313368,4423700,0,0,0,0,0,5347616,0,0,20637,485649991,191360278,170280186,241700000,91748500,98311111,101130556,0
2013-04-26,26142655,34186306,160322825,139087877,20908650,110591667,69298103,0,0,578663340,50621745,0,0,0,0,29611100,0,5326672,13713056,0,101945667,419166667,186801944,158440000,251789922,69886330,66560000,75350000,0
2013-04-27,0,0,110138889,148984474,15981747,110611437,84275852,0,0,587666016,84431932,0,0,0,0,29317491,2744412,0,36111111,0,0,420658.332,186801944,158440000,251789922,437533637,84510634,92595486,0
2013-04-28,27944060,33776417,99427872,115102940,30079639,109905556,70451847,0,0,575544315,95677083,0,0,0,0,62763587,0,5323017,36001111,0,0,432375014,189496278,181136331,273066111,73177030,80640000,73230556,0
2013-04-29,27085109,33122528,115309796,157269322,15772116,109752778,70783152,0,0,446051444,95429688,0,0,0,0,29598322,164921168,3736661,25258889,0,0,547083333,190848250,111218317,274175000,65481500,82648889,79088889,0
2013-04-30,59483073,31233028,119005881,193217863,11708811,116816667,70812472,0,0,440945757,95299479,0,0,0,0,44221928,138776464,9234373,23668333,0,0,432688904,187197500,100231772,277807222,76911640,87875556,76486111,0
2013-05-01,60870270,30464861,84074917,252189042,12293326,110558333,69672367,0,0,351500834,94010417,0,0,0,0,40900818,177827856,7195005,29965833,0,0,522419434,189300056,137587267,272782500,76075890,88177778,79191667,0
2013-05-02,55305956,32256250,82883852,189662583,10963824,110216667,61924467,0,0,323229979,87868924,0,0,0,0,58619978,206809328,4927494,23151111,0,0,551013896,192078000,110821325,243079167,65961640,86008889,91675000,0
2013-05-03,78855902,35455972,77308898,261063411,9611847,110122222,69725895,0,0,201574166,90794271,0,0,0,0,27159156,179918512,11098687,27005790,0,0,519938897,193521889,136290000,216398632,75018530,87182222,103938889,0
2013-05-04,0,32566556,82257483,237175115,22791725,109816667,55908660,0,0,359872753,87291667,0,0,0,0,0,0,5157980,0,0,0,445827772,189261778,166270000,208777415,73690420,97422222,118152778,0
2013-05-05,0,31052083,60825742,252238230,22342998,109738889,64561483,0,0,473137309,85481771,2457600,0,0,0,0,0,4865589,0,0,0,438975016,173063583,171510000,207610150,71842000,88071111,112550000,0
2013-05-06,0,33424000,57102877,255905992,22463487,109408333,61490638,0,0,403066383,81892361,0,0,0,0,0,11093,2232975,0,0,0,436747233,190254083,186435356,164269820,89024110,97120000,111197222,0
2013-05-07,24528140,33379056,104290403,144026504,17136616,109661111,49348182,0,0,465449016,81137153,0,0,0,0,0,0,2263434,0,0,0,504913873,186276667,199905233,52526389,81058390,99680000,112558333,0
2013-05-08,67361,36819972,109966130,226142606,9015068,103950000,57804120,0,16008919,390937850,87942708,0,0,0,0,0,0,1652409,0,0,0,517336121,183448250,206966014,155860278,76349470,99164444,113447222,0
2013-05-09,0,37845667,116331516,245970746,14996337,99925000,66794452,0,13506454,379245568,87039931,237600,0,0,0,7341386,0,6301035,0,0,0,559966668,182891389,176919675,179185278,83982860,97884444,112061111,0
